Start time,End time,thai_transcript,translation
8.8,13.1,ค่ะ น้องณัฐพงษ์ พี่อันนี้ น้องนันทพงศ์ใช้ 2 ซิมไหมคะ,"Hello Nong Natthaphong, for this one, does Nong Nanthaphong use 2 SIM cards?"
18.7,19.7,หนูใช้เบอร์อะไร,What number do you use?
20.2,21.2,A,N
22.1,28.4,นี่พี่โทรมาเบอร์ไหน เบอร์ 095 ใช่ไหม อ๋อ ตามหน้าระบบจะไม่เห็นค่ะ มันผิดกฎหมายค่ะ,"Which number did you call from? Is it the 095 number? Oh, according to the system, it won't show. That would be illegal."
33.5,36.0,เพราะว่าอันนี้ที่พี่โทรหาน้องเป็นเบอร์อะไรอ่ะคะ,"Because this number that you called me, what number is it?"
44.9,47.7,อันนี้น้องมีบัตรเครดิตไหม ไม่ได้มีใช่ไหม,"For this, do you have a credit card, sister? You don't have one, right?"
52.8,59.3,หนูให้บอกพี่ 2 เบอร์เลยก็ได้ เดี๋ยวพี่ลองโทรดู,"I can give you 2 numbers right away, then you can try calling."
59.8,62.1,A,N
65.8,71.3,ครับ ,Yes
76.5,88.4,752-737-527 นะครับ 2 เบอร์นี้เนาะ แล้วอันนี้หนูมีเพื่อนอยู่ข้างๆ ไหมที่ที่พอจะปล่อย Hotspot ให้หนูได้บ้างมีไหม,"752-737-527, okay? These 2 numbers. And for this, do you have any friends nearby who could provide a hotspot for me?"
89.6,99.0,ไม่ๆ ยืนไม่มีเพราะว่าตอนนี้ครับผมปล่อยเพราะไอ้ฮอตสปอต ใส่เครื่องผมเองอ๋อ ก็คือใส่เครื่องที่จ่ายผ่านแอป ถูกมั้ย,"No, no, there's no standing because right now I'm releasing it because the hotspot, I put it in my own device. Oh, so it means putting it in the device that pays through the app, right?"
99.8,108.8,น้องต้องทำทีละขั้นตอน อันนี้น้องถึงขั้นตอนไหนแล้ว ทำไปพร้อมพี่ได้ไหม เพราะว่าน้องเปิดลำโพงอยู่มั้ย หรือว่าไง,You have to do it step by step. Which step are you on now? Can you do it together with me? Because do you have the speaker on or what?
